air_store_id,train_days,test_days,seasonal_naive_rmsle,seasonal_naive_rmse_log,seasonal_naive_mape,sarima_no_exog_rmsle,sarima_no_exog_rmse_log,sarima_no_exog_mape,sarima_no_exog_aic,sarima_no_exog_status,arimax_holiday_only_rmsle,arimax_holiday_only_rmse_log,arimax_holiday_only_mape,arimax_holiday_only_aic,arimax_holiday_only_status,air_genre_name,air_area_name,delta_sarima_vs_naive,delta_holiday_arimax_vs_naive,delta_holiday_arimax_vs_sarima
air_23ee674e91469086,436,39,0.9374124722460556,0.9374124722460556,203.80846891172948,0.6593762706333913,0.6593762706333913,106.80152678810721,640.698471968288,SARIMA no exog,0.6454952741331432,0.6454952741331432,102.62948559765763,641.6782828585136,SARIMAX holiday only,Cafe/Sweets,Tōkyō-to Koganei-shi Honchō,0.2780362016126643,0.2919171981129124,0.0138809965002481
air_671b4bea84dafb67,435,39,0.6635120296269751,0.6635120296269751,107.17129834115198,0.6899757848106025,0.6899757848106025,94.49785755472291,643.2123668906011,SARIMA no exog,0.6973161518264298,0.6973161518264298,95.20130258154595,639.1228275525975,SARIMAX holiday only,Japanese food,Tōkyō-to Minato-ku Shibakōen,-0.026463755183627424,-0.03380412219945472,-0.007340367015827298
air_9241121af22ff1d6,435,39,0.6039395880589966,0.6039395880589966,71.19406324971902,0.5189761666731503,0.5189761666731503,45.89667981589663,650.0946420537208,SARIMA no exog,0.5176058227032718,0.5176058227032718,45.90409661464571,651.8918749625459,SARIMAX holiday only,Izakaya,Tōkyō-to Katsushika-ku Tateishi,0.08496342138584634,0.08633376535572479,0.0013703439698784514
air_c31472d14e29cee8,439,39,1.2881514399196137,1.2881514399196137,188.53170796609712,0.4681921095648569,0.4681921095648569,49.06616741689279,740.7433973319072,SARIMA no exog,0.47311087237671673,0.47311087237671673,49.94409452005446,741.6564289504315,SARIMAX holiday only,Cafe/Sweets,Fukuoka-ken Fukuoka-shi Daimyō,0.8199593303547568,0.8150405675428969,-0.0049187628118598226
air_6cbe54f0aa30b615,436,39,0.6376610397465435,0.6376610397465435,56.78323940339145,0.5204529661170403,0.5204529661170403,45.43262689051517,881.7116623576533,SARIMA no exog,0.5157741057491115,0.5157741057491115,44.68728069166258,882.5981957826932,SARIMAX holiday only,Italian/French,Tōkyō-to Shinjuku-ku Kabukichō,0.11720807362950325,0.121886933997432,0.00467886036792875
air_77488fa378cf98c3,436,39,1.1120610037096017,1.1120610037096017,97.5955539767757,0.6660413733415314,0.6660413733415314,91.40686149602487,748.3208874265831,SARIMA no exog,0.6726986217564586,0.6726986217564586,92.73171245791694,751.9109039367448,SARIMAX holiday only,Other,Tōkyō-to Suginami-ku Asagayaminami,0.44601963036807035,0.43936238195314314,-0.006657248414927208
air_a1fe8c588c8d2f30,436,39,0.9268460388843863,0.9268460388843863,89.21296886491811,0.8335726150490518,0.8335726150490518,102.47969422172328,896.451546825908,SARIMA no exog,0.8153834906598122,0.8153834906598122,99.52406599447824,877.3461619855907,SARIMAX holiday only,Bar/Cocktail,Fukuoka-ken Fukuoka-shi Daimyō,0.09327342383533455,0.11146254822457413,0.018189124389239586
air_a38f25e3399d1b25,436,39,1.1926501304574686,1.1926501304574686,268.1020207258926,0.9384517332715202,0.9384517332715202,128.32730413843595,1035.4129129868732,SARIMA no exog,0.9308191898887859,0.9308191898887859,131.839081578429,1010.0551580112724,SARIMAX holiday only,Izakaya,Tōkyō-to Chiyoda-ku Kudanminami,0.2541983971859484,0.2618309405686827,0.007632543382734336
air_b1d822f75c9fc615,436,39,1.5659638739434085,1.5659638739434085,556.6698186990199,1.305560210967083,1.305560210967083,367.05731691420726,884.2968568685721,SARIMA no exog,1.307944541120569,1.307944541120569,373.06100507305075,882.1482900851274,SARIMAX holiday only,Cafe/Sweets,Tōkyō-to Toshima-ku Higashiikebukuro,0.26040366297632556,0.2580193328228395,-0.0023843301534860473
air_ef789667e2e6fe96,436,39,0.8881417187366625,0.8881417187366625,93.36842946120314,0.3899289163853142,0.3899289163853142,29.97635875133818,845.3099114331535,SARIMA no exog,0.3902406058589382,0.3902406058589382,30.916664146541695,842.3547518667932,SARIMAX holiday only,Dining bar,Tōkyō-to Machida-shi Morino,0.4982128023513483,0.49790111287772426,-0.00031168947362403276
air_1c95a84924d72500,435,39,0.7578089359346362,0.7578089359346362,107.73588455417465,0.7117614107240432,0.7117614107240432,115.8681238948917,745.640983455311,SARIMA no exog,0.7117765483223817,0.7117765483223817,115.73241701765305,747.4104510462923,SARIMAX holiday only,Izakaya,Ōsaka-fu Higashiōsaka-shi Aramotokita,0.046047525210592966,0.04603238761225448,-1.5137598338488267e-05
air_08ba8cd01b3ba010,439,39,0.6500072058830666,0.6500072058830666,58.86740308862034,0.4606831078741567,0.4606831078741567,52.047876920695224,676.953449874358,SARIMA no exog,0.44006535881424325,0.44006535881424325,47.69270979943306,649.8701774219494,SARIMAX holiday only,Izakaya,Miyagi-ken Sendai-shi Kamisugi,0.18932409800890987,0.20994184706882335,0.02061774905991348
